AGE,RACE,SEX,VDAT,VTIM,TICK_,CHGNO,RKY,ONST,ATST,BTST,CITED,CHARGED,CB,ObjectId
25,W,M,2021/01/01 00:00:00+00,2336,LB675313,1,C1-000320,1448 N 48,BURGER KING,-,1874,"DRIVING UNDER INFLUENCE/.08, FIRST OFFENSE",C,148
0,,,2021/01/03 00:00:00+00,11,XX2210020,1,C1-000565,1325 O,,,2261,VIOLATE ORDER OF THE HEALTH DIRECTOR,C,149
25,W,M,2021/01/01 00:00:00+00,2336,LB675313,2,C1-000320,1448 N 48,BURGER KING,-,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,150
16,B,F,2021/01/02 00:00:00+00,1559,LN1500030,1,,48/R-O,,,2167,IMPROPER REGISTRATION,C,151
16,B,F,2021/01/02 00:00:00+00,1559,LN1500030,2,,48/R-O,,,2176,OPERATE MOTOR VEHICLE W/O LICENSE,C,152
37,W,M,2021/01/01 00:00:00+00,1821,LN2700065,1,,N 1ST ST/SUPERIO,R ST,,2167,IMPROPER REGISTRATION,C,153
20,W,F,2021/01/01 00:00:00+00,2200,LN2700066,1,,W O ST/SUN VALLE,Y BLVD,,1561,DISPLAY REGISTRATION PLATES,C,154
20,W,F,2021/01/01 00:00:00+00,2200,LN2700066,2,,W O ST/SUN VALLE,Y BLVD,,2229,OPERATE A MTR VEH W/O LICENSE ON PERSON,C,155
61,W,F,2021/01/02 00:00:00+00,1615,LO4500048,1,C1-000456,27TH AND YST,,,1333,FAIL TO YIELD TO VEHICLE,C,156
61,W,F,2021/01/02 00:00:00+00,1615,LO4500048,2,C1-000456,27TH AND YST,,,2229,OPERATE A MTR VEH W/O LICENSE ON PERSON,C,157
61,W,F,2021/01/02 00:00:00+00,1615,LO4500048,3,C1-000456,27TH AND YST,,,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,158
29,W,M,2020/12/31 00:00:00+00,1641,LO9200029,1,C0-119338,VAN DORN/ 47 - 4,8,,11658,LEAVE ACCIDENT-FAIL TO FURNISH INFO/1ST,C,159
29,W,M,2020/12/31 00:00:00+00,1641,LO9200030,1,C0-119338,VAN DORN/ 47 - 4,8,,2112,NEGLIGENT DRIVING,C,160
